,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6.40,6.40,6.40,6.40,6.40,6.40,6.40
Reserves,92.99,93.77,90.51,109.91,111.85,114.73,118.80
Borrowings +,4.30,4.30,7.06,18.64,6.54,21.40,16.98
Other Liabilities +,5.15,4.70,6.31,9.05,14.35,15.60,14.42
Total Liabilities,108.84,109.17,110.28,144.00,139.14,158.13,156.60
Fixed Assets +,100.57,100.94,94.80,79.55,89.77,100.87,99.18
CWIP,0.24,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,8.03,8.23,15.48,64.45,49.37,57.26,57.42
Total Assets,108.84,109.17,110.28,144.00,139.14,158.13,156.60
