,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,10,10,10,10,10,20,20,20,29,50,100
Reserves,24,23,44,46,50,53,60,146,154,168,220,360,326
Borrowings +,20,19,29,96,121,119,147,177,166,143,151,219,275
Other Liabilities +,12,15,32,38,46,49,70,84,133,171,255,347,436
Total Liabilities,64,64,114,189,227,232,287,428,473,502,655,976,"1,137"
Fixed Assets +,27,29,28,32,32,34,37,78,98,88,86,88,108
CWIP,3,-0,-0,-0,-0,0,1,4,0,0,0,0,-0
Investments,2,17,15,26,22,22,26,47,22,20,7,11,11
Other Assets +,32,18,70,131,173,175,222,299,352,395,562,877,"1,017"
Total Assets,64,64,114,189,227,232,287,428,473,502,655,976,"1,137"
