,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Sep 2015
Share Capital +,11,13,14,14,14,15,15,19,19,39,39
Reserves,125,159,218,220,287,514,596,814,925,"1,004","1,022"
Borrowings +,386,636,796,"1,280","1,275","1,446","2,160","2,803","3,061","3,481","3,589"
Other Liabilities +,161,248,344,491,491,670,621,776,"1,056","1,213",949
Total Liabilities,682,"1,056","1,372","2,005","2,067","2,645","3,391","4,413","5,062","5,737","5,598"
Fixed Assets +,67,78,99,121,144,274,285,331,342,322,331
CWIP,4,12,24,24,8,39,43,4,3,5,0
Investments,9,12,14,12,17,18,20,20,20,22,22
Other Assets +,602,954,"1,236","1,847","1,898","2,315","3,043","4,058","4,697","5,388","5,245"
Total Assets,682,"1,056","1,372","2,005","2,067","2,645","3,391","4,413","5,062","5,737","5,598"
