,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,50.72,50.72,50.72,50.72,50.72,50.72,50.72,51.97,53.39,53.39
Reserves,103.01,101.64,102.70,103.74,102.87,102.88,104.00,110.74,116.98,118.31
Borrowings +,1.37,9.76,7.67,6.80,5.95,5.83,5.67,4.90,5.88,3.72
Other Liabilities +,11.88,28.49,19.36,48.95,140.09,197.96,325.80,361.71,388.54,381.09
Total Liabilities,166.98,190.61,180.45,210.21,299.63,357.39,486.19,529.32,564.79,556.51
Fixed Assets +,123.24,137.84,138.54,49.77,49.22,137.54,137.25,138.07,137.89,137.39
CWIP,0.00,0.00,0.00,88.40,88.40,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Other Assets +,43.74,52.12,41.16,71.39,161.36,219.20,348.29,390.60,426.25,418.47
Total Assets,166.98,190.61,180.45,210.21,299.63,357.39,486.19,529.32,564.79,556.51
