,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,13,22,22,22,29,29,29
Reserves,91,359,361,388,440,275,225
Borrowings +,414,535,776,969,"1,148","1,632","2,253"
Other Liabilities +,55,90,101,240,919,914,343
Total Liabilities,572,"1,006","1,261","1,619","2,536","2,850","2,850"
Fixed Assets +,58,313,315,386,447,479,381
CWIP,28,11,49,3,3,1,1
Investments,4,4,0,1,0,0,0
Other Assets +,483,678,896,"1,229","2,086","2,370","2,467"
Total Assets,572,"1,006","1,261","1,619","2,536","2,850","2,850"
